location,date,new_cases,new_cases_smoothed,new_people_vaccinated_smoothed
United Kingdom,2021-6-1,3099,3304.143,172443
United Kingdom,2021-6-2,4261,3486.143,163392
United Kingdom,2021-6-3,5179,3743.143,154071
United Kingdom,2021-6-4,6140,4044.857,150568
United Kingdom,2021-6-5,5651,4389.286,153438
United Kingdom,2021-6-6,5223,4691,153789
United Kingdom,2021-6-7,5594,5021,156623
United Kingdom,2021-6-8,5966,5430.571,160665
United Kingdom,2021-6-9,7319,5867.429,161207
United Kingdom,2021-6-10,7237,6161.429,162684
United Kingdom,2021-6-11,7958,6421.143,166771
United Kingdom,2021-6-12,7550,6692.429,173996
United Kingdom,2021-6-13,7330,6993.429,176836
United Kingdom,2021-6-14,7619,7282.714,179648
United Kingdom,2021-6-15,7587,7514.286,187253
United Kingdom,2021-6-16,8808,7727,189968
United Kingdom,2021-6-17,10821,8239,196021
United Kingdom,2021-6-18,10272,8569.571,198108
United Kingdom,2021-6-19,10075,8930.286,201830
United Kingdom,2021-6-20,9074,9179.429,204191
United Kingdom,2021-6-21,10467,9586.286,188255
United Kingdom,2021-6-22,11503,10145.714,203942
United Kingdom,2021-6-23,15882,11156.286,205668
United Kingdom,2021-6-24,16702,11996.429,202461
United Kingdom,2021-6-25,15364,12723.857,199512
United Kingdom,2021-6-26,17944,13848,192969
United Kingdom,2021-6-27,14624,14640.857,189535
United Kingdom,2021-6-28,22717,16390.857,204704
United Kingdom,2021-6-29,20252,17640.714,181583
United Kingdom,2021-6-30,25667,19038.571,172093
United Kingdom,2021-7-1,27621,20598.429,162235
United Kingdom,2021-7-2,26773,22228.286,150964
United Kingdom,2021-7-3,24447,23157.286,137100
United Kingdom,2021-7-4,23824,24471.571,128173
United Kingdom,2021-7-5,27100,25097.714,120987
United Kingdom,2021-7-6,28611,26291.857,113533
United Kingdom,2021-7-7,32048,27203.429,105781
United Kingdom,2021-7-8,32080,27840.429,97767
United Kingdom,2021-7-9,35504,29087.714,92979
United Kingdom,2021-7-10,31800,30138.143,86746
United Kingdom,2021-7-11,31352,31213.571,81715
United Kingdom,2021-7-12,34455,32264.286,78477
United Kingdom,2021-7-13,36443,33383.143,74657
United Kingdom,2021-7-14,41960,34799.143,70860
United Kingdom,2021-7-15,48173,37098.143,65896
United Kingdom,2021-7-16,51485,39381.143,62954
United Kingdom,2021-7-17,53980,42549.714,59162
United Kingdom,2021-7-18,47599,44870.714,55760
United Kingdom,2021-7-19,40394,45719.143,53099
United Kingdom,2021-7-20,46429,47145.714,50236
United Kingdom,2021-7-21,43623,47383.286,48054
United Kingdom,2021-7-22,39570,46154.286,45534
United Kingdom,2021-7-23,35841,43919.429,41746
United Kingdom,2021-7-24,31291,40678.143,38401
United Kingdom,2021-7-25,28656,37972,39310
United Kingdom,2021-7-26,24741,35735.857,38503
United Kingdom,2021-7-27,23362,32440.571,37984
United Kingdom,2021-7-28,25512,29853.286,37805
United Kingdom,2021-7-29,30724,28589.571,37564
United Kingdom,2021-7-30,29294,27654.286,36672
United Kingdom,2021-7-31,25760,26864.143,35960
United Kingdom,2021-8-1,24141,26219.143,35486
